cod_cnes,nome_curto,nome_oficial
7434618,Academia da Saúde,Armando Augusto Tricoly
2039737,Alvinópolis - UBS,Antonio de Pádua Alonso
2063492,Boa Vista - USF,Carmelina Silveira Cintra
6076688,Cachoeira - USF,José Francisco de Faria
4057716,CAPS AD,Centro de Atenção Psicossocial Álcool e Drogas
6130208,CAPS II,Centro de Atenção Psicossocial II
4143523,CAPSi,Centro de Atenção Psicossocial Infantojuvenil
4254694,CASAMAR,Casa de Atenção à Saúde da Mulher e Banco de Leite Humano
4435656,CEAF,Complexo Especializado da Assistência Farmacêutica
2066629,Centro - UBS,Dr. Oswaldo Paccini
7842376,CEO,Centro de Especialidades Odontológicas
4795997,CER,Centro Especializado em Reabilitação
2039753,Cerejeiras - USF,Pedro Maturana
9818944,Divisão de Suprimentos,Central de Distribuição Almoxarifado da Saúde
4038460,DVS,Departamento de Vigilância em Saúde
7352522,Flamenguinho - UBS,Ana Cecília Batista de Sá
3251519,Imperial - USF,Ana Nery
6983871,Itapetinga - USF,Dr. Gerson de Andrade Nogueira
2066327,Laboratório Municipal,Laboratório Municipal de Patologia e Análises Clínicas
2057190,Maracanã - USF,Jarbas Pereira de Araújo
9471138,Policlínica do Centro,Policlínica
2074796,Portão - USF,Majuca Macedo
4899911,Residência Terapêutica,Residência Terapêutica II
2057182,Rio Abaixo - USF,Pompeu Miguel Vairo
2066300,Rio Acima - USF,Maria da Dores Borges Boldrin
2067315,Rosário - USF,Dr. Benedito José Barbosa
2039745,SAE,Serviço de Atenção Especializada
7045549,SAMU Básica,SAMU Ambulância Básica
4897013,SAMU Motolância SSR,URAM PLACA SSR 5I85 MOTOLANCIA
4899938,SAMU Motolância SWV,URAM PLACA SWV 4I72 MOTOLANCIA
7050909,SAMU UTI,SAMU Ambulância UTI
5366828,Santa Casa,Irmandade Santa Casa de Misericórdia de Atibaia
2066335,Santa Clara - USF,Unidade de Saúde Santa Clara
3558444,São José - USF,USF São José
6325130,SMS - Secretaria de Saúde,Secretaria de Saúde de Atibaia
2066343,Tanque - USF,Helio Bacci
7073194,UPA Cerejeiras,UPA Porte II 24h Jd. Cerejeiras
2067404,Usina - USF,Dr. Herconides Martins de Oliveira
9065490,UVZ,Unidade de Vigilância de Zoonoses
6588395,APAE,APAE Atibaia
